antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'DA0101EN', 'PY0101EN', 'DS0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.06856822936617851,0.3123139935763326,0.044906738957480034,0.6549204984959174,2.0969937689834843,0.023491921411670856,1.9928335453896309,0.5616373394246313
"frozenset({'DA0101EN', 'PY0101EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.061938297433479686,0.426584553731915,0.044906738957480034,0.7250237868696479,1.699601592525747,0.018484817987904485,2.0853274533832424,0.4388056938932578
"frozenset({'DA0101EN', 'BD0111EN', 'DS0101EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.047205115360815626,0.44010961487462064,0.044906738957480034,0.951310861423221,2.1615316486421965,0.02413131381591943,11.49928714065202,0.5639882188068072
"frozenset({'DA0101EN', 'PY0101EN', 'BD0111EN'})","frozenset({'DS0101EN', 'BD0101EN'})",0.0738132421840469,0.2267436720982998,0.044906738957480034,0.6083832335329341,2.6831321372848844,0.028170053375188114,1.974523039137369,0.6772945546241055
"frozenset({'DA0101EN', 'BD0111EN', 'DS0101EN'})","frozenset({'PY0101EN', 'BD0101EN'})",0.05389398002180511,0.21189262456905442,0.044906738957480034,0.833242208857299,3.932379480182194,0.033487002082187564,4.726060293977702,0.78817915470327
"frozenset({'DA0101EN', 'DS0101EN', 'BD0101EN'})","frozenset({'PY0101EN', 'BD0111EN'})",0.07337124672186698,0.16630815923623185,0.044906738957480034,0.6120481927710844,3.680205442606713,0.03270450197429893,2.1489572292979116,0.785941550450214
"frozenset({'DA0101EN', 'BD0111EN', 'BD0101EN'})","frozenset({'PY0101EN', 'DS0101EN'})",0.06733064207207473,0.26619913368889414,0.044906738957480034,0.6669584245076585,2.505486833353598,0.02698338036717673,2.2033311163217824,0.644254006745934
"frozenset({'DA0101EN', 'PY0101EN'})",frozenset({'DS0101EN'}),0.2233845065857324,0.426584553731915,0.13893390694522204,0.6219496108692785,1.4579749909560478,0.043641526892723354,1.5167698877035423,0.40446936931905697
"frozenset({'DA0101EN', 'DS0101EN'})",frozenset({'PY0101EN'}),0.14901140348292424,0.44010961487462064,0.13893390694522204,0.9323709709313823,2.1184971639326675,0.07335255554642554,8.27884701046505,0.6204163863781237
frozenset({'DS0103EN'}),frozenset({'PY0101EN'}),0.22745086483778768,0.44010961487462064,0.14921766803194153,0.6560435289545278,1.4906366659165646,0.04911435550528341,1.6277943061328826,0.4260514917033592
frozenset({'DS0103EN'}),frozenset({'DS0101EN'}),0.22745086483778768,0.426584553731915,0.20172672893891622,0.8869024485036922,2.0790777367458593,0.10469970326615044,5.0700960249064675,0.6718245869310304
"frozenset({'PY0101EN', 'DS0103EN'})",frozenset({'DS0101EN'}),0.14921766803194153,0.426584553731915,0.13684179509090375,0.9170616113744077,2.149776880929286,0.07318784276458093,6.913751952146631,0.6286395800337772
"frozenset({'DS0103EN', 'DS0101EN'})",frozenset({'PY0101EN'}),0.20172672893891622,0.44010961487462064,0.13684179509090375,0.6783523225241017,1.5413258415573405,0.04805992210768034,1.7406946305941633,0.43995951247479914
frozenset({'DS0103EN'}),"frozenset({'PY0101EN', 'DS0101EN'})",0.22745086483778768,0.26619913368889414,0.13684179509090375,0.6016323357947921,2.2600837480482467,0.07629457191429491,1.8420191502619274,0.7216868088535343
"frozenset({'DS0103EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.12431859032913929,0.44010961487462064,0.07773226861537555,0.6252666508651339,1.4207066370119208,0.02301846170386232,1.4941034375989724,0.3381651307991353
